Nama Kontrak,,"Maintenance Services for Air Traffic Management Systems in Kota Kinabalu Flight Information Region (KK FIR) Encompassing Sabah and Sarawak 
(CAAM.BKP.400-5/8/24)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Senarai Penempatan Aset,,,,,,,,,,,,,,,,,,,,,,,,,
Bil,Aset ID,"Kategori Aset 
(Pilih Kategori Yg Disenaraikan Shj)",Jenis Aset,Lokasi,Kuantiti,Vendor,Product,Purchase Year,,,,,,,,,,,,,,,,,
1,ATM-543129,Hardware,STRIP PRINTER,BRO-KK/ATCC K. Kinabalu  - Center,1,IER,Strip Printer 400B2-01,2022,,,,,,,,,,,,,,,,,
2,ATM-543130,Hardware,STRIP PRINTER ,BRO-KK/ATCC K. Kinabalu  - Center,1,IER,Strip Printer 400B2-01,2022,,,,,,,,,,,,,,,,,
3,ATM-543131,Hardware,STRIP PRINTER ,BRO-KK/ATCC K. Kinabalu - NOC Room,1,IER,Strip Printer 400B2-01,2022,,,,,,,,,,,,,,,,,
4,ATM-543132,Hardware,STRIP PRINTER ,BRO-KK/ATCC K. Kinabalu - NOC Room,1,IER,Strip Printer 400B2-01,2022,,,,,,,,,,,,,,,,,
5,ATM-543133,Hardware,SERVER,BRO-KK/ATCC K. Kinabalu - Equipment Room,1,THALES,pLinesE4,2022,,,,,,,,,,,,,,,,,
6,ATM-543134,Hardware,SERVER,BRO-KK/ATCC K. Kinabalu - Equipment Room,1,THALES,pLinesE4,2022,,,,,,,,,,,,,,,,,
7,ATM-543135,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu  - Center,1,HP,Workstation Z4 G4 (HS),2022,,,,,,,,,,,,,,,,,
8,ATM-543136,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO,EIZO,2022,,,,,,,,,,,,,,,,,
9,ATM-543137,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO,EIZO,2022,,,,,,,,,,,,,,,,,
10,ATM-543138,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu  - Center,1,HP,Workstation Z4 G4 (HS),2022,,,,,,,,,,,,,,,,,
11,ATM-543139,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO,EIZO,2022,,,,,,,,,,,,,,,,,
12,ATM-543140,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO,EIZO,2022,,,,,,,,,,,,,,,,,
13,ATM-543141,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu  - Center,1,HP,Workstation Z4 G4 (HS),2022,,,,,,,,,,,,,,,,,
14,ATM-543142,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO,EIZO,2022,,,,,,,,,,,,,,,,,
15,ATM-543143,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO,EIZO,2022,,,,,,,,,,,,,,,,,
16,ATM-543144,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu  - Center,1,HP,Workstation Z4 G4 (HS),2022,,,,,,,,,,,,,,,,,
17,ATM-543145,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO,EIZO,2022,,,,,,,,,,,,,,,,,
18,ATM-543146,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO,EIZO,2022,,,,,,,,,,,,,,,,,
19,ATM-543147,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu  - Center,1,HP,Workstation Z4 G4 (HS),2022,,,,,,,,,,,,,,,,,
20,ATM-543148,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO,EIZO,2022,,,,,,,,,,,,,,,,,
