Bil,Aset ID,"Kategori Aset 
(Pilih Kategori Yg Disenaraikan Shj)",Jenis Aset,Lokasi,Kuantiti,Vendor
1,ATM-543129,Hardware,STRIP PRINTER,BRO-KK/ATCC K. Kinabalu  - Center,1,IER
2,ATM-543130,Hardware,STRIP PRINTER ,BRO-KK/ATCC K. Kinabalu  - Center,1,IER
3,ATM-543131,Hardware,STRIP PRINTER ,BRO-KK/ATCC K. Kinabalu - NOC Room,1,IER
4,ATM-543132,Hardware,STRIP PRINTER ,BRO-KK/ATCC K. Kinabalu - NOC Room,1,IER
5,ATM-543133,Hardware,SERVER,BRO-KK/ATCC K. Kinabalu - Equipment Room,1,THALES
6,ATM-543134,Hardware,SERVER,BRO-KK/ATCC K. Kinabalu - Equipment Room,1,THALES
7,ATM-543135,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu  - Center,1,HP
8,ATM-543136,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO
9,ATM-543137,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO
10,ATM-543138,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu  - Center,1,HP
11,ATM-543139,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO
12,ATM-543140,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO
13,ATM-543141,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu  - Center,1,HP
14,ATM-543142,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO
15,ATM-543143,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO
16,ATM-543144,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu  - Center,1,HP
17,ATM-543145,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO
18,ATM-543146,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO
19,ATM-543147,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu  - Center,1,HP
20,ATM-543148,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO
21,ATM-543149,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO
22,ATM-543150,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu  - Center,1,HP
23,ATM-543151,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO
24,ATM-543152,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO
25,ATM-543153,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu  - Center,1,HP
26,ATM-543154,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO
27,ATM-543155,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO
28,ATM-543156,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu  - Center,1,HP
29,ATM-543157,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO
30,ATM-543158,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO
31,ATM-543159,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu  - Center,1,HP
32,ATM-543160,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu - NOC Room,1,HP
33,ATM-543161,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu - NOC Room,1,HP
34,ATM-543162,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu  - Center,1,HP
35,ATM-543163,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO
36,ATM-543164,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu  - Center,1,HP
37,ATM-543165,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO
38,ATM-543166,Hardware,FIREWALL,BRO-KK/ATCC K. Kinabalu - Equipment Room,1,Fortinet
39,ATM-543167,Hardware,FIREWALL,BRO-KK/ATCC K. Kinabalu - Equipment Room,1,Fortinet
40,ATM-543168,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu  - Center,1,HP
41,ATM-543169,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO
42,ATM-543170,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO
43,ATM-543171,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu - Equipment Room,1,HP
44,ATM-543172,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu - Equipment Room,1,HP
45,ATM-543173,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu - Equipment Room,1,HP
46,ATM-543174,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu - Equipment Room,1,HP
47,ATM-543175,Hardware,SWITCH,BRO-KK/ATCC K. Kinabalu - Equipment Room,1,CISCO
48,ATM-543176,Hardware,SWITCH,BRO-KK/ATCC K. Kinabalu - Equipment Room,1,CISCO
49,ATM-543177,Hardware,SWITCH,BRO-KK/ATCC K. Kinabalu - Equipment Room,1,CISCO
50,ATM-543178,Hardware,SWITCH,BRO-KK/ATCC K. Kinabalu - Equipment Room,1,CISCO
51,ATM-543179,Hardware,SWITCH,BRO-KK/ATCC K. Kinabalu - Equipment Room,1,CISCO
52,ATM-543180,Hardware,SWITCH,BRO-KK/ATCC K. Kinabalu - Equipment Room,1,CISCO
53,ATM-543181,Hardware,SERVER,BRO-KK/ATCC K. Kinabalu - Equipment Room,1,THALES
54,ATM-543182,Hardware,SPLITTER,BRO-KK/ATCC K. Kinabalu - Equipment Room,1,CesCom
55,ATM-543183,Hardware,SERVER,BRO-KK/ATCC K. Kinabalu - Equipment Room,1,THALES
