Bil,Aset ID,"Kategori Aset 
(Pilih Kategori Yg Disenaraikan Shj)",Jenis Aset,Lokasi,Kuantiti,Vendor,Product,Purchase Year
1,SVL-543244,Hardware,RF COMBINER,BRO-SKN/RADAR Sandakan - RADAR Building,1,Thales,RF Combiner (16 to 1),2022
2,ANC-543343,Hardware,READER,BRO-SKN/RADAR Sandakan - RADAR Building,1,Axis Communications,Axis A4010 E Reader,2022
3,ANC-543342,Hardware,DOOR CONTROLLER,BRO-SKN/RADAR Sandakan - RADAR Building,1,Axis Communications, AXIS A1001 Network Door Controller,2022
4,ATM-543194,Hardware,ETHERNET SWITCH,BRO-SKN/RADAR Sandakan - RADAR Building,1,Cisco,WS-C2960XR-24TS-I Catalyst 2960-XR Switch,2022
5,ATM-543193,Hardware,ETHERNET SWITCH,BRO-SKN/RADAR Sandakan - RADAR Building,1,Cisco,WS-C2960XR-24TS-I Catalyst 2960-XR Switch,2022
6,ATM-543200,Hardware,RACK SERVER,BRO-SKN/RADAR Sandakan - RADAR Building,1,Hewlett-Packard Enterprise,HPE A642 1075 RACK,2022
7,ATM-543622,Hardware,WORKSTATION,BRO-SKN/LT Sandakan (Tower - Level 6),1,Hewlett-Packard Enterprise,Workstation Z4 G4 (HS),2022
8,ATM-543617,Hardware,MONITOR,BRO-SKN/LT Sandakan (Tower - Level 6),1,EIZO,"24"" 1K Display",2022
9,ATM-543183,Hardware,FLEXIBLE WAVEGUIDE,BRO-SKN/RADAR Sandakan - RADAR Tower,1,NERA,17.7 - 26.5 Flexible Waveguide,2022
10,ATM-543606,Hardware,FLEXIBLE WAVEGUIDE,BRO-SKN/LT Sandakan (Tower - Rooftop),1,NERA,17.7 - 26.5 Flexible Waveguide,2022
11,ATM-543180,Hardware,MICROWAVE HYBRID COUPLER,BRO-SKN/RADAR Sandakan - RADAR Tower,1,NERA,18GHz ODU HSB Coupler,2022
12,ATM-543605,Hardware,MICROWAVE HYBRID COUPLER,BRO-SKN/LT Sandakan (Tower - Rooftop),1,NERA,18GHz ODU HSB Coupler,2022
13,ATM-543177,Hardware,CIRCUIT BREAKER,BRO-SKN/RADAR Sandakan - RADAR Building,1,NERA,32Amp,2022
14,ATM-543604,Hardware,CIRCUIT BREAKER,BRO-SKN/LT Sandakan (Tower - Level 6),1,NERA,32Amp,2022
15,ATM-543608,Hardware,RF CONNECTOR,BRO-SKN/LT Sandakan (Tower - Rooftop),1,NERA,"50 ohm, N male Connector for 1/2 inch flexible corrugated cable",2022
16,ATM-543185,Hardware,RF CONNECTOR,BRO-SKN/RADAR Sandakan - RADAR Tower,1,NERA,"51 ohm, N male Connector for 1/2 inch flexible corrugated cable",2022
17,ANC-543341,Hardware,GENERATOR,BRO-SKN/RADAR Sandakan - RADAR Building,1,Sincro,Sincro AC Generator,2022
18,SVL-543596,Hardware,OMNIDIRECTIONAL ANTENNA,BRO-SKN/LT Sandakan (Tower - Rooftop),1,THALES,Omnidirectional Antenna VPOL Excl. O/L 8-11dB,2022
19,SVL-543597,Hardware,OMNIDIRECTIONAL ANTENNA,BRO-SKN/LT Sandakan (Tower - Rooftop),1,THALES,Omnidirectional Antenna VPOL Excl. O/L 8 -11dB,2022
20,ATM-543182,Hardware,MICROWAVE ANTENNA,BRO-SKN/RADAR Sandakan - RADAR Tower,1,NERA,"Antenna 18Ghz 06M (SP
 Integrated)",2022
